name,role,baseprice,age,batsmanType,bowlerType,mobile,email,photo
Vihaan Reddy,Batsman,1000,19,Right-Hand Batsman,N/A,,,
Shaurya Saxena,Bowler,1250,20,N/A,Right Arm Leg Break,,,
Ansh Bose,All-Rounder,1500,21,Right-Hand Batsman,Left Arm Fast,,,
Suresh Kulkarni,Wicket-Keeper,1750,22,Left-Hand Batsman,N/A,,,
Ravi Murthy,Batsman,2000,23,Right-Hand Batsman,N/A,,,
Akash Malik,Bowler,2250,24,N/A,Right Arm Fast,,,
Vishal Sandhu,All-Rounder,2500,25,Right-Hand Batsman,Right Arm Medium,,,
Pradeep Negi,Wicket-Keeper,2750,26,Left-Hand Batsman,N/A,,,
Chirag Awasthi,Batsman,3000,27,Right-Hand Batsman,N/A,,,
Jay Vyas,Bowler,3250,28,Left-Hand Batsman,Left Arm Fast,,,
Quentin Shah,All-Rounder,3600,29,Right-Hand Batsman,Left Arm Orthodox,,,
Xavier Mishra,Wicket-Keeper,3850,30,Left-Hand Batsman,N/A,,,
Shreyas Mukherjee,Batsman,4100,31,Right-Hand Batsman,N/A,,,
Washington Shinde,Bowler,4350,32,N/A,Right Arm Medium,,,
Ishant Raman,All-Rounder,4600,19,Right-Hand Batsman,Right Arm Off Break,,,
Ishan Sethi,Wicket-Keeper,4850,20,Left-Hand Batsman,N/A,,,
Shahbaz Dhillon,Batsman,5100,21,Right-Hand Batsman,N/A,,,
Arshad Pant,Bowler,5350,22,N/A,Left Arm Orthodox,,,
Anukul Upadhyay,All-Rounder,5600,23,Right-Hand Batsman,Left Arm Chinaman,,,
Ayush Singh,Wicket-Keeper,5850,24,Left-Hand Batsman,N/A,,,
Aarav Malhotra,Batsman,1200,25,Right-Hand Batsman,N/A,,,
Ayaan Rathore,Bowler,1450,26,Left-Hand Batsman,Right Arm Off Break,,,
Kabir Nambiar,All-Rounder,1700,27,Right-Hand Batsman,Right Arm Leg Break,,,
Nikhil Gowda,Wicket-Keeper,1950,28,Left-Hand Batsman,N/A,,,
Deepak Sheikh,Batsman,2200,29,Right-Hand Batsman,N/A,,,
Dev Sood,Bowler,2450,30,N/A,Left Arm Chinaman,,,
Tarun Saini,All-Rounder,2700,31,Right-Hand Batsman,Right Arm Fast,,,
Lokesh Tripathi,Wicket-Keeper,2950,32,Left-Hand Batsman,N/A,,,
Vinay Parikh,Batsman,3200,19,Right-Hand Batsman,N/A,,,
Gagan Iyer,Bowler,3450,20,N/A,Right Arm Leg Break,,,
Neeraj Verma,All-Rounder,3800,21,Right-Hand Batsman,Left Arm Fast,,,
Utkarsh Banerjee,Wicket-Keeper,4050,22,Left-Hand Batsman,N/A,,,
Jasprit Jadhav,Batsman,4300,23,Right-Hand Batsman,N/A,,,
Arshdeep Krishnan,Bowler,4550,24,Left-Hand Batsman,Right Arm Fast,,,
Bhuvneshwar Choudhary,All-Rounder,4800,25,Right-Hand Batsman,Right Arm Medium,,,
Krunal Brar,Wicket-Keeper,5050,26,Left-Hand Batsman,N/A,,,
Mayank Rawat,Batsman,5300,27,Right-Hand Batsman,N/A,,,
Yash Dayal Dwivedi,Bowler,5550,28,N/A,Left Arm Fast,,,
Kumar Zaveri,All-Rounder,5800,29,Right-Hand Batsman,Left Arm Orthodox,,,
Ramandeep Desai,Wicket-Keeper,6050,30,Left-Hand Batsman,N/A,,,
Tanish Tiwari,Batsman,1400,31,Right-Hand Batsman,N/A,,,
Arjun Chakraborty,Bowler,1650,32,N/A,Right Arm Medium,,,
Atharv Chavan,All-Rounder,1900,19,Right-Hand Batsman,Right Arm Off Break,,,
Dhruv Iqbal,Wicket-Keeper,2150,20,Left-Hand Batsman,N/A,,,
Vikram Bansal,Batsman,2400,21,Right-Hand Batsman,N/A,,,
Gaurav Randhawa,Bowler,2650,22,Left-Hand Batsman,Left Arm Orthodox,,,
Naveen Bhandari,All-Rounder,2900,23,Right-Hand Batsman,Left Arm Chinaman,,,
Ashish Bhatt,Wicket-Keeper,3150,24,Left-Hand Batsman,N/A,,,
Rakesh Kumar,Batsman,3400,25,Right-Hand Batsman,N/A,,,
Dinesh Chopra,Bowler,3650,26,N/A,Right Arm Off Break,,,
Kartik Solanki,All-Rounder,4000,27,Right-Hand Batsman,Right Arm Leg Break,,,
Ritesh Rao,Wicket-Keeper,4250,28,Left-Hand Batsman,N/A,,,
Yuvraj Shetty,Batsman,4500,29,Right-Hand Batsman,N/A,,,
Sanju Ali,Bowler,4750,30,N/A,Left Arm Chinaman,,,
Axar Bedi,All-Rounder,5000,31,Right-Hand Batsman,Right Arm Fast,,,
Jadeja Lamba,Wicket-Keeper,5250,32,Left-Hand Batsman,N/A,,,
Prithvi Mishra,Batsman,5500,19,Right-Hand Batsman,N/A,,,
Akash Deep Shukla,Bowler,5750,20,Left-Hand Batsman,Right Arm Leg Break,,,
